거래소코드,연도,변동성,무위험이자율,시총,종가,유동부채,비유동부채
123010,2017,0.007303786,0.85,19168636695,3855,8699088,2672736
123010,2018,0.008158084,1.76,18752657840,3760,7612565,3982316
123010,2019,0.006372576,2.63,39349284310,6230,17293399,3829254
123010,2020,0.016752038,1.59,76768703255,1555,14027203,2572485
123040,2010,0.006110307,0.47,49036000000,5980,154926015,67946020
123040,2011,0.006624837,0.29,54202000000,6610,280654076,154085974
123040,2012,0.005026446,0.12,69536000000,8480,260350183,289260116
123040,2013,0.00563472,0.16,40918000000,4990,282619387,253442790
123040,2014,0.005668937,0.13,85980995360,6110,362959606,223628727
123040,2015,0.007068156,0.25,66842836000,4750,393320409,160501402
123040,2016,0.006875432,0.65,67424408730,4635,407119345,98202320
123040,2017,0.008234197,0.85,70459090380,2590,347882630,121127952
123040,2018,0.012733091,1.76,56722470870,2085,422680864,162386461
123040,2019,0.008872911,2.63,2.03E+11,6020,619008162,176793897
123040,2020,0.007430618,1.59,3.07E+11,8880,594401231,193749687
123330,2011,0.001395121,0.29,1.9E+11,39100,11585604,796247
123330,2012,0.001179853,0.12,1.86E+11,37550,6537004,663931
123330,2013,0.001987911,0.16,1.19E+11,21600,8370982,3331769
123330,2014,0.002478295,0.13,1.33E+11,22100,10193223,10151775
123330,2015,0.001573757,0.25,1.9E+11,30150,17754060,11216159
123330,2016,0.002544503,0.65,1E+11,15200,20974575,18658566
123330,2017,0.003547049,0.85,82813500000,11950,27415725,11693483
123330,2018,0.00407165,1.76,45990000000,6570,24048720,10322447
123330,2019,0.006075168,2.63,34440000000,4920,30694391,314673
123330,2020,0.009519461,1.59,25725000000,3675,17568351,10198091
123410,2010,0.006564107,0.47,27475200000,4050,,0
123410,2011,0.00775193,0.29,26559360000,3915,,0
123410,2012,0.00949252,0.12,76209179200,2800,82146949,18362737
123410,2013,0.008074822,0.16,1.46E+11,5240,90890340,15192978
123410,2014,0.00567536,0.13,1.75E+11,6300,98526626,28120631
123410,2015,0.006597527,0.25,1.14E+11,4110,126599736,22102293
123410,2016,0.007018375,0.65,1.32E+11,4750,150663487,27920360
123410,2017,0.00733325,0.85,1.01E+11,3630,168895651,35719320
123410,2018,0.012949472,1.76,77398157920,2780,172063084,40946236
123410,2019,0.011685395,2.63,81852728160,2940,155907665,51154003
123410,2020,0.013139943,1.59,81017496240,2910,168449331,66686475
123420,2010,0.005519685,0.47,21686640000,4145,,0
123420,2011,0.007456849,0.29,19018320000,3635,,0
123420,2012,0.005376075,0.12,,,,0
123420,2013,0.007020967,0.16,1.37E+11,4240,6829417,454040
123420,2014,0.003489426,0.13,5.55E+11,17200,23213023,1095694
123420,2015,0.003157349,0.25,4E+11,12400,8990179,1387749
123420,2016,0.002681995,0.65,1.96E+11,20500,11815594,2119063
123420,2017,0.002221992,0.85,2.57E+11,26850,7669442,2608644
123420,2018,0.00214848,1.76,1.78E+11,18650,13792112,1740744
123420,2019,0.002402596,2.63,1.97E+11,20600,14719959,3884717
123420,2020,0.002355197,1.59,2.04E+11,21300,16658899,3995224
123570,2011,0.00570613,0.29,34815000000,6330,17179002,2691177
123570,2012,0.005035963,0.12,61325000000,11150,19836840,3453969
123570,2013,0.004050733,0.16,48400000000,8800,16429571,10928532
123570,2014,0.005073887,0.13,32725000000,5950,25509278,6689102
123570,2015,0.005380635,0.25,41140000000,7480,21409331,5923672
123570,2016,0.006657528,0.65,61270000000,5570,19067989,6285547
123570,2017,0.007404294,0.85,46167171655,4145,21257377,5108623
123570,2018,0.010613683,1.76,48004948090,2155,25845025,5160964
123570,2019,0.010648106,2.63,78745935730,3535,28425701,6539637
123570,2020,0.009101532,1.59,92445723700,4150,36476261,9932695
123750,2010,0.017344189,0.47,21837600000,1080,,0
123750,2011,,0.29,42421160120,5270,30508545,1926360
123750,2012,0.006052773,0.12,44916522480,5580,19669478,1965190
123750,2013,0.006806771,0.16,54855611340,4980,19140688,1836272
123750,2014,0.005395382,0.13,1.15E+11,9980,19931820,973248
123750,2015,0.004947247,0.25,69337782000,6000,18784001,290455
123750,2016,0.005699358,0.65,66153281430,5190,29633555,22000
123750,2017,0.007840154,0.85,42508900495,3335,28706438,30453
123750,2018,0.008917927,1.76,49200706420,3860,25631509,49515
123750,2019,0.014769454,2.63,15869139765,1245,17143897,695949
123750,2020,0.013632432,1.59,51367576910,4030,10963161,398118
123840,2010,0.011042148,0.47,21132700000,2005,,0
123840,2011,0.013979606,0.29,19340900000,1835,,0
123840,2012,0.009085242,0.12,,,,0
123840,2013,0.011185988,0.16,64389980655,2145,11289249,3250654
123840,2014,,0.13,28972176133,947,6507278,1145342
123840,2015,0.019715785,0.25,82893743205,2595,7146325,1044220
123840,2016,0.011751566,0.65,93264130155,2895,26873155,12163440
123840,2017,0.011914423,0.85,1E+11,2830,49607746,8592108
123840,2018,0.016630195,1.76,64049237190,1165,24487806,4891078
123840,2019,,2.63,54744621598,974,21355759,3476251
123840,2020,,1.59,92009522975,1175,22974885,1870008
123860,2010,0.001097263,0.47,1.98E+11,58800,5035435,1425912
123860,2011,0.004499257,0.29,84225356800,8320,6743519,60244
123860,2012,0.003779116,0.12,1.22E+11,12050,9647455,66373
123860,2013,0.00327836,0.16,1.17E+11,11600,12669367,2000000
123860,2014,0.003612291,0.13,1.26E+11,12450,23878708,1401480
123860,2015,0.003529641,0.25,1.48E+11,14600,20085317,0
123860,2016,0.003183922,0.65,1.49E+11,14750,22645006,0
123860,2017,0.002793844,0.85,2.3E+11,22700,9380103,11230170
123860,2018,0.002517255,1.76,1.88E+11,18550,21586978,2231806
123860,2019,0.001837303,2.63,2.97E+11,29350,33219871,36065864
123860,2020,0.002481888,1.59,2.93E+11,26950,69611553,4536368
124500,2014,0.006240718,0.13,35354464000,8200,48923738,20623852
124500,2015,0.002893947,0.25,60998649600,13800,58581354,17235455
124500,2016,0.005240605,0.65,50347288160,5380,93159301,8504521
124500,2017,0.008953614,0.85,44994393240,2945,75284373,22202789
124500,2018,0.009038013,1.76,53539325620,3410,168761815,59175274
124500,2019,0.007102729,2.63,1.11E+11,6850,148366993,79871719
124500,2020,0.006911448,1.59,1.04E+11,5240,227038523,93786553
124560,2019,0.007833724,2.63,90191500000,5110,45493568,740409
124560,2020,0.009405769,1.59,1.01E+11,5170,59276536,4170154
125210,2019,0.004516511,2.63,2.13E+11,12900,37332143,13264384
125210,2020,0.003721017,1.59,2.58E+11,15650,48405044,17807575
126340,2020,0.001096294,1.59,2.68E+11,54600,20225772,16925214
126600,2010,0.005294327,0.47,42398000000,7310,6664798,2865
126600,2011,0.00617759,0.29,29812000000,5140,17276382,179183
126600,2012,0.006420642,0.12,52287000000,6010,14475839,203866
126600,2013,0.004897707,0.16,63510000000,7300,9931848,9586624
126600,2014,0.003852627,0.13,1.01E+11,11450,28239818,215434
126600,2015,0.003001569,0.25,1.72E+11,17600,20174303,10419804
126600,2016,0.002822749,0.65,1.36E+11,14000,36345459,559803
126600,2017,0.005700555,0.85,99876948820,4730,43389389,761915
126600,2018,0.00885426,1.76,60496291410,2865,64753768,924046
126600,2019,0.008962421,2.63,78655736650,3725,45863299,1434846
126600,2020,0.009972518,1.59,87946615610,4165,30899677,845356
126640,2010,0.011555265,0.47,28875000000,2310,,0
126640,2011,0.015640706,0.29,55207302590,1570,25802722,7796642
126640,2012,0.016392996,0.12,47512769710,1330,28426554,6177847
126640,2013,0.016107296,0.16,56252183155,1565,34195622,4694461
126640,2014,0.01461093,0.13,48741008580,1340,31196526,2737162
126640,2015,0.015430893,0.25,55652047110,1530,23627703,2078500
126640,2016,0.016009547,0.65,61289999595,1685,33284343,1960603
126640,2017,0.015757792,0.85,45831097620,1260,26485529,1196292
126640,2018,0.019464079,1.76,42375578355,1165,25904628,1455615
126640,2019,0.019917569,2.63,46558575360,1280,36581665,16980201
126640,2020,0.024338351,1.59,63654302250,1750,47693019,13241111
126700,2010,0.011069952,0.47,20420000000,2000,,0
126700,2011,0.012740916,0.29,30272650000,2965,,0
126700,2012,0.009923426,0.12,1.1E+11,3480,15479552,2247664
126700,2013,0.007363135,0.16,1.44E+11,10250,6653097,1906850
126700,2014,0.004894256,0.13,1.44E+11,9660,10122307,1432192
126700,2015,0.00428063,0.25,1.47E+11,9820,11849604,742490
126700,2016,0.004822062,0.65,1.15E+11,7720,19532695,143952
126700,2017,0.003790694,0.85,1.94E+11,13000,58646950,252937
126700,2018,0.003342255,1.76,1.31E+11,8800,46860688,168400
126700,2019,0.004467042,2.63,1.87E+11,12500,39634514,1043037
126700,2020,0.004375586,1.59,2.21E+11,14800,32729555,1634553
126870,2012,0.004959335,0.12,31361782620,6230,13580516,11212455
126870,2013,0.004988676,0.16,35947907700,7050,27434766,3781068
126870,2014,0.004655108,0.13,42605645600,7600,38600720,2494509
126870,2015,0.004331783,0.25,66303092310,9290,20302788,9776245
126870,2016,0.006425453,0.65,67908648225,4785,42567744,11017071
126870,2017,0.006715884,0.85,84165357920,5320,50142934,20997553
126870,2018,0.006686022,1.76,1.25E+11,6550,85804213,11633326
126870,2019,0.007428692,2.63,92005478880,4060,95066060,10506119
126870,2020,0.012749058,1.59,93390974360,3130,75234861,8901489
126880,2011,0.002788868,0.29,1.46E+11,18200,40168430,5412338
126880,2012,0.003317481,0.12,85200000000,10650,63627773,9253988
126880,2013,0.00442278,0.16,57600000000,7200,63406012,5510938
126880,2014,0.005959891,0.13,37240000000,4655,101869716,1270560
126880,2015,0.006223248,0.25,50560000000,6320,90221924,9966962
126880,2016,0.006983078,0.65,53883298910,3635,78521336,23137593
126880,2017,0.008365961,0.85,51882131000,3500,78968599,4746569
126880,2018,0.009160677,1.76,87822612800,5200,122721275,28837285
126880,2019,0.006983426,2.63,1.04E+11,4815,85610803,2045305
126880,2020,0.00778603,1.59,1.96E+11,8440,76758494,8196190
127120,2011,0.003604635,0.29,67501252000,16400,4739425,4234116
127120,2012,0.004145944,0.12,55428614600,10900,3072481,9260625
127120,2013,0.003898224,0.16,41393479160,8140,1806103,9641504
127120,2014,0.003674764,0.13,70175677200,13800,2652124,10092335
127120,2015,0.00318003,0.25,80364748800,12800,2722149,18806256
127120,2016,0.004399523,0.65,42882127680,6830,3739470,20305244
127120,2017,0.008126247,0.85,62279240000,5800,1254914,155000
127120,2018,0.007140087,1.76,43595468000,4060,14520069,941800
127120,2019,0.00905418,2.63,42348436290,3690,15487729,749754
127120,2020,0.008334791,1.59,1.57E+11,9590,14572700,488292
127160,2015,0.00816769,0.25,28621775000,4600,31983306,23919340
127160,2016,0.007190131,0.65,27844009375,4475,52619001,9446248
127160,2017,,0.85,38791070500,1225,50635976,8150975
127160,2018,,1.76,2.02E+11,3440,61617764,5199353
127160,2019,0.02449288,2.63,49192258400,800,65037698,5711968
127160,2020,,1.59,20629542186,297,58528621,1883228
127710,2015,0.010968035,0.25,76868071350,3045,18390136,2308296
127710,2016,0.009236631,0.65,1.04E+11,4120,11498241,3665092
127710,2017,0.009088221,0.85,79644914650,3155,16267210,4035352
127710,2018,0.011463566,1.76,59323470500,2350,26059490,24106515
127710,2019,0.012004975,2.63,50252205980,1970,27128886,5211596
127710,2020,0.018671167,1.59,51782730020,2030,39691502,7476957
128540,2018,0.011324082,1.76,53430796000,3670,36257731,7041121
128540,2019,0.010435885,2.63,42220520000,2900,40952956,12960490
128540,2020,0.013199695,1.59,43385224000,2980,42605559,17333383
128660,2010,0.015640758,0.47,52460219070,2415,16849846,1714148
128660,2011,0.014625617,0.29,45291741930,2085,18008990,7927581
128660,2012,0.014704161,0.12,51048246300,2350,23182720,6716468
128660,2013,0.014089503,0.16,35733772410,1645,22693268,6578995
128660,2014,0.013095639,0.13,42070855225,1915,15084695,10549220
128660,2015,0.013031614,0.25,45256376900,2060,13069660,12082476
128660,2016,0.01329298,0.65,47994519015,1935,27204656,9556685
128660,2017,0.011222785,0.85,52459125435,2115,24341237,9157879
128660,2018,0.013815586,1.76,53327243350,2150,19343414,7395056
128660,2019,0.012204421,2.63,67465163680,2720,17233232,6651359
128660,2020,0.013794249,1.59,56675698165,2285,19382285,5382230
129890,2020,0.001887919,1.59,2.69E+11,27800,52934351,15105998
130500,2013,0.007305364,0.16,32200000000,4600,16430823,2941930
130500,2014,0.00851896,0.13,21770000000,3110,17138039,2091421
130500,2015,0.009038283,0.25,36400000000,5200,12253393,2059202
130500,2016,0.007279173,0.65,34055000000,4865,13795904,3090541
130500,2017,0.008371876,0.85,37785000000,3435,9949621,3951020
130500,2018,0.009595436,1.76,26730000000,2430,34387933,5525236
130500,2019,0.01090477,2.63,33880000000,3080,29962548,7371101
130500,2020,0.00951959,1.59,91520000000,8320,34050774,7034724
